SAMPLE_ID	TAP1	B2M	IRF1	STAT1	CXCL9	CXCL10	PSMB9	NLRC5	HLA-A	HLA-B
TCGA-CV-7255-01	-0.6321	0.0994	-1.0556	-0.3303	-0.6289	-0.5178	-0.7065	-0.9466	0.0	0.0
TCGA-CV-7254-01	-0.7282	0.6226	-0.5358	-0.5471	-0.1888	-0.4456	-0.3338	-1.0585	0.0	0.0
TCGA-CV-7253-01	-0.9477	-0.5065	-1.1737	-1.1004	-0.6383	-0.5378	-0.7712	-1.0495	0.0	0.0
TCGA-CV-7252-01	-0.1816	0.6622	-0.9194	-0.613	-0.3801	-0.3978	-0.5875	-0.2514	0.0	0.0
TCGA-CV-7250-01	-0.4956	-0.8075	0.32	-0.5023	-0.564	-0.5189	-0.5116	-0.6577	0.0	0.0
TCGA-CV-7248-01	-0.9435	-0.8278	-0.869	-0.632	-0.5582	-0.5024	-0.741	-0.0931	0.0	0.0
TCGA-CV-7247-01	-0.8052	-1.1905	-0.9577	-0.9339	-0.6179	-0.5302	-0.6326	-1.2793	0.0	0.0
TCGA-CV-7245-01	-0.6075	-0.4708	-1.0351	-0.8671	-0.6287	-0.5343	-0.4423	0.0152	0.0	0.0
TCGA-CV-7243-01	-0.4569	-0.9118	-1.0051	-0.5381	-0.3077	-0.3939	-0.6469	-0.7283	0.0	0.0
TCGA-CV-7242-01	-0.3059	-0.4902	-0.5492	-0.2989	-0.3519	-0.4488	-0.412	0.8807	0.0	0.0
TCGA-CV-7238-01	0.2065	-0.6548	-0.092	0.3293	-0.3167	-0.3615	0.2271	0.8317	0.0	0.0
TCGA-CV-7236-01	-0.5269	-0.3672	-0.3055	-0.578	-0.3384	-0.4021	-0.6795	-0.6881	0.0	0.0
TCGA-CV-7235-01	1.9345	0.369	1.5399	2.4944	-0.0775	-0.119	0.1855	0.2744	0.0	0.0
TCGA-CV-7183-01	-0.9642	-0.9352	-1.2288	-0.8058	-0.5868	-0.5235	-0.9176	-1.2319	0.0	0.0
TCGA-CV-7180-01	-0.499	-0.3349	-0.9043	-0.714	-0.5471	-0.4291	-0.4318	-0.6854	0.0	0.0
TCGA-CV-7178-01	0.462	0.356	-0.357	-0.3543	0.0374	-0.3607	0.2985	1.27	0.0	0.0
TCGA-CV-7177-01	-1.1691	-1.3593	-1.1757	-1.0378	-0.623	-0.532	-0.963	-1.1383	0.0	0.0
TCGA-CV-7104-01	0.8836	-0.2842	0.0698	2.3332	-0.4307	-0.283	0.7937	-0.1146	0.0	0.0
TCGA-CV-7103-01	-1.243	-1.3044	-1.1266	-1.0036	-0.5917	-0.5292	-0.9675	-1.454	0.0	0.0
TCGA-CV-7102-01	-0.5727	-0.0183	-0.6588	-0.4804	-0.269	-0.4801	-0.2722	0.278	0.0	0.0
TCGA-CV-7101-01	-0.7138	-0.3564	-0.5291	-0.6314	-0.3259	-0.4811	-0.714	-0.7107	0.0	0.0
TCGA-CV-7100-01	0.8524	0.6543	1.9578	1.0633	1.0532	1.8294	1.9133	0.5446	0.0	0.0
TCGA-CV-7099-01	0.8185	-0.596	0.4561	0.4515	0.1518	0.7894	0.45	2.1014	0.0	0.0
TCGA-CV-7097-01	-0.5466	-0.0946	-0.6044	-0.3171	-0.5351	-0.2869	-0.1671	-0.9693	0.0	0.0
TCGA-CV-7095-01	-0.7897	-0.4814	-0.782	0.3111	-0.3564	-0.4645	-0.6187	-0.5937	0.0	0.0
TCGA-CV-7091-01	0.2241	0.2674	-0.7039	0.5247	0.2322	0.0724	-0.4065	1.0358	0.0	0.0
TCGA-CV-7090-01	0.7774	2.0389	-0.3137	1.0327	0.0615	-0.1148	0.0197	0.4186	0.0	0.0
TCGA-CV-7089-01	0.1335	-0.5142	-0.1088	-0.0271	-0.4756	-0.3433	0.0911	0.1585	0.0	0.0
TCGA-CV-6960-01	-1.1531	-1.5702	-1.2027	-1.0273	-0.64	-0.5381	-0.8833	-1.2866	0.0	0.0
TCGA-CV-6956-01	-0.8331	-0.4033	-1.242	-1.0114	-0.6316	-0.534	-0.7766	-0.7698	0.0	0.0
TCGA-CV-6955-01	0.6229	0.3188	0.2855	0.7509	-0.2928	-0.3722	0.1325	0.5402	0.0	0.0
TCGA-CV-6942-01	0.8077	1.3013	0.9037	0.5435	0.7373	0.1682	1.4192	1.491	0.0	0.0
TCGA-CV-6937-01	-0.5983	-0.9024	-0.9422	-0.7775	-0.625	-0.522	-0.5075	-0.4206	0.0	0.0
TCGA-CR-7402-01	-0.5606	-1.0854	-0.6423	-1.14	-0.5823	-0.5131	-0.4815	-1.2524	0.0	0.0
TCGA-CR-7401-01	-0.4282	0.2003	-0.974	-0.1074	-0.5062	-0.492	-0.4723	-0.5792	0.0	0.0
TCGA-CR-7399-01	-0.0686	0.1656	-0.2999	-0.0597	1.6527	-0.2521	-0.0623	-0.6844	0.0	0.0
TCGA-CR-7398-01	-0.9228	-1.3142	-1.1063	-0.8388	-0.6166	-0.474	-0.8529	-1.2735	0.0	0.0
TCGA-CR-7397-01	-0.7429	-0.647	-0.7647	-0.4218	-0.1388	-0.262	-0.6324	-0.8336	0.0	0.0
TCGA-CR-7395-01	0.4313	0.6474	0.4468	0.7731	1.6656	0.7938	0.2145	0.7044	0.0	0.0
TCGA-CR-7394-01	0.3455	0.652	-0.1529	1.2884	1.9197	0.2641	0.0075	1.186	0.0	0.0
TCGA-CR-7393-01	-0.8144	-0.5147	-0.8811	-0.3554	-0.4515	-0.4996	-0.709	-0.7536	0.0	0.0
TCGA-CR-7392-01	0.8933	0.6439	0.1706	1.4393	0.1976	-0.1749	-0.034	0.581	0.0	0.0
TCGA-CR-7391-01	-0.424	-0.2221	-0.5816	-0.0127	-0.0875	-0.2524	-0.5648	-0.3311	0.0	0.0
